NAME;LOCATION;BLZ;bic;RPDHBCIPT
Testinstitut 421 das zu Testzwecken auch noch einen echt langen Namen hat;Berlin;94059421;TESTDETT421;0
Bundesbank;Berlin;10000000;MARKDEF1100;0
Postbank Ndl der Deutsche Bank;Berlin;10010010;PBNKDEFFXXX;1
OLINDA Zweigniederlassung Deutschland;Berlin;10010123;QNTODEB2XXX;0
Treezor, Berlin;Berlin;10010200;TRZODEB2XXX;0
Klarna Bank German Branch;Berlin;10010300;KLRNDEBEXXX;0
Aareal Bank;Berlin;10010424;AARBDE5W100;0
Noelse Pay;Berlin;10010500;AFOPDEB2XXX;0
Financiere des Paiements Electroniques NL Deutschland;Berlin;10010700;FPEGDEB2XXX;0
N26 Bank;Berlin;10011001;NTSBDEB1XXX;0
Swan Zweigniederlassung Deutschland;Berlin;10014000;SWNBDEBBXXX;0
Swan Zweigniederlassung Deutschland (Geschäftsfeld);Berlin;10014001;SWNBDEBBXXX;0
Holvi Payment Services Zweigniederlassung Deutschland;Berlin;10017997;HOLVDEB1XXX;0
BHF-BANK;Berlin;10020200;BHFBDEFF100;47
Bank für Sozialwirtschaft;Berlin;10020500;BFSWDE33BER;0
Bank für Sozialwirtschaft AG (nur intern);Berlin;10020510;BFSWDE33BER;0
Bank für Sozialwirtschaft AG (nur intern);Berlin;10020520;BFSWDE33BER;0
UniCredit Bank - HypoVereinsbank;Berlin;10020890;HYVEDEMM488;0
Berlin Hyp;Berlin;10030200;BHYPDEB2XXX;0
ABK Allgemeine Beamten Bank;Berlin;10030400;ABKBDEB1XXX;0
M.M. Warburg & Co (vormals Bankhaus Löbbecke);Hamburg;10030500;LOEBDEBBXXX;163
North Channel Bank;Mainz;10030600;GENODEF1OGK;31
Eurocity Bank;Frankfurt am Main;10030700;DLGHDEB1XXX;31
Eurocity Bank Gf GAA;Frankfurt am Main;10030730;DLGHDEB1XXX;0
EIS Einlagensicherungsbank;Berlin;10031000;EIEGDEB1XXX;0
Santander Consumer Bank;Berlin;10033300;SCFBDE33XXX;0
Commerzbank, Filiale Berlin 1;Berlin;10040000;COBADEFFXXX;23
Commerzbank, Filiale Berlin 3;Berlin;10040005;COBADEFFXXX;23
Commerzbank, CC SP;Berlin;10040010;COBADEFFXXX;23
Commerzbank GF-B48;Berlin;10040048;COBADEFFXXX;23
Commerzbank Gf 160;Berlin;10040060;COBADEFFXXX;23
Commerzbank Gf 161;Berlin;10040061;COBADEFFXXX;23
Commerzbank CC;Berlin;10040062;COBADEFFXXX;23
Commerzbank CC;Berlin;10040063;COBADEFFXXX;23
Commerzbank, Gf Web-K;Berlin;10040085;COBADEFFXXX;23
Commerzbank Service-BZ;Berlin;10045050;COBADEFFXXX;23
Landesbank Berlin - Berliner Sparkasse;Berlin;10050000;BELADEBEXXX;8
Landesbank Berlin - E 1 -;Berlin;10050005;;0
Landesbank Berlin - E 2 -;Berlin;10050006;;0
Landesbank Berlin - E 3 -;Berlin;10050007;;0
Landesbank Berlin - E 4 -;Berlin;10050008;;0
S-Kreditpartner, Berlin;Berlin;10050020;SKPADEB1XXX;0
LBS Ost Berlin;Berlin;10050500;LBSODEB1BLN;0
DekaBank;Frankfurt am Main;10050999;DGZFDEFFBER;0
Pax-Bank;Berlin;10060198;GENODED1PA6;56
Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;Berlin;10061006;GENODED1KDB;0
Deutsche Bank;Berlin;10070000;DEUTDEBBXXX;19
Deutsche Bank;Berlin;10070024;DEUTDEDBBER;19
